,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
383,,,223175,0,0,0,0,1,3,1.5,1.0,2,Matthew,1.0,540,False,,,45,223175.jpg,3.6,Longstaff,0.2,False,,a,13,4,25,46338,492,34988,700,0.2,5.6,Matthew Longstaff,544,2,0,1,9,0,0,0,1,0,0,2,98,101.8,51.1,29.0,18.2
384,0.0,0.0,104547,0,0,0,0,0,4,0.0,0.0,0,Dwight,1.0,554,False,Hamstring injury - Expected back 28 Feb,2020-01-11T17:00:17.861465Z,50,104547.jpg,1.3,Gayle,0.0,False,,i,13,4,12,5263,18,4745,149,0.2,2.4,Gayle,178,0,1,0,6,0,0,0,0,0,0,0,32,29.2,28.4,17.0,7.3
385,,,19838,0,0,0,0,0,1,0.5,0.0,0,Robert,0.0,573,False,,,40,19838.jpg,0.0,Elliot,0.1,False,,a,13,4,0,6722,309,1827,232,0.0,0.0,Elliot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
386,,,232957,0,0,0,0,0,3,0.5,0.0,0,Thomas,0.0,598,False,,,45,232957.jpg,0.0,Allan,0.0,False,,a,13,4,0,359,111,112,51,0.0,0.0,Allan,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
387,0.0,,232977,0,0,0,0,0,2,0.0,0.0,0,Kelland,0.0,599,False,Joined Mansfield Town on loan until the end of the season on 28/1. - Expected back 01 Jul,2020-01-29T10:30:22.945557Z,40,232977.jpg,0.0,Watts,0.0,False,,n,13,4,0,436,93,161,81,0.0,0.0,Watts,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
388,,,156069,0,0,0,0,0,2,1.6,1.1,0,Liam,0.0,610,False,,,40,156069.jpg,0.0,Gibson,0.0,False,,a,13,4,0,187,187,25,25,0.0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
389,,,126407,0,0,0,0,0,3,2.1,1.6,0,Nabil,0.0,612,False,,,50,126407.jpg,0.0,Bentaleb,0.0,False,,a,13,4,0,978,978,141,141,0.0,0.0,Bentaleb,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
390,,,116543,0,0,0,0,0,3,2.5,2.0,0,Valentino,0.0,614,False,,,55,116543.jpg,0.0,Lazaro,0.0,False,,a,13,4,0,226,226,14,14,0.0,0.0,Lazaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
391,0.0,0.0,84384,0,0,-2,2,0,2,0.0,0.0,0,Timm,0.0,272,False,Knee injury - Unknown return date,2019-08-27T21:30:10.685404Z,43,84384.jpg,0.0,Klose,0.0,False,,i,14,45,0,808,5,5834,26,0.0,0.0,Klose,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
392,0.0,0.0,198826,0,0,-1,1,0,2,0.0,0.0,0,Ben,0.8,273,False,Suspended until 15 Feb,2020-01-18T19:30:17.891258Z,44,198826.jpg,1.3,Godfrey,0.1,False,,s,14,45,24,13577,4,23084,216,0.2,5.5,Godfrey,1564,0,0,2,35,0,0,0,1,1,0,0,279,367.8,17.9,41.0,42.9
393,100.0,100.0,232980,0,0,-2,2,0,2,2.3,1.8,4,Maximillian,2.8,274,False,,2019-12-27T23:30:16.214403Z,43,232980.jpg,1.7,Aarons,1.1,False,,a,14,45,37,50713,1790,158965,1123,0.7,8.6,Aarons,1980,0,1,3,43,0,0,0,5,0,0,1,298,326.4,263.8,161.0,75.2
394,100.0,100.0,192303,0,0,-1,1,0,2,1.7,1.2,1,Christoph,2.2,275,False,,2019-08-31T17:00:18.410489Z,44,192303.jpg,2.1,Zimmermann,0.0,False,,a,14,45,27,3501,95,3006,118,0.5,6.1,Zimmermann,1115,0,1,2,20,0,0,0,2,0,0,1,194,274.0,14.3,57.0,34.6
395,100.0,100.0,194799,-1,1,-1,1,0,2,-0.3,-0.8,0,Jamal,0.2,276,False,,2019-11-18T15:00:15.322949Z,44,194799.jpg,1.4,Lewis,0.2,False,,a,14,45,21,31945,93,37230,279,0.0,4.8,Lewis,1162,0,0,2,28,0,0,0,2,0,0,0,188,207.6,131.4,56.0,39.5
396,100.0,100.0,83428,0,0,0,0,0,2,0.3,-0.2,1,Grant,0.8,277,False,,2020-01-11T20:30:19.344676Z,40,83428.jpg,0.7,Hanley,2.0,False,,a,14,45,7,251866,4887,288219,3833,0.2,1.8,Hanley,811,0,0,0,20,1,0,0,2,0,0,0,112,193.2,2.0,72.0,26.8
397,100.0,100.0,57127,0,0,0,0,2,4,4.3,3.8,8,Teemu,4.8,278,False,,2020-01-02T11:00:21.225706Z,65,57127.jpg,5.1,Pukki,13.5,False,,a,14,45,117,3709152,56351,3343592,13318,0.7,18.0,Pukki,2041,11,3,4,42,0,0,0,3,0,0,21,398,521.2,306.7,946.0,176.8
398,0.0,0.0,179587,0,0,-3,3,0,4,0.0,0.0,0,Dennis,0.0,279,False,Joined SC Paderborn on a permanent deal on 8/1,2020-01-03T15:30:19.113612Z,52,179587.jpg,1.6,Srbeny,0.0,False,,u,14,45,13,4535,13,7813,66,0.0,2.5,Srbeny,41,1,0,0,2,0,0,0,0,0,0,1,50,44.2,3.4,25.0,7.0
