assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,elementStatus,element_type,element_type_id,element_type_singular_name,element_type_singular_name_short,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,iconInfo,ict_index,id,in_dreamteam,influence,infoStub,isElement,isTransfer,loaned_in,loaned_out,loans_in,loans_out,minutes,news,next_event_fixture,now_cost,own_goals,penalties_missed,penalties_saved,photo,photo_url,points_per_game,red_cards,saves,search_name,second_name,selected_by_percent,shirt_id,shirt_image_url,special,squad_number,status,team,team_code,team_name,team_short_name,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,18,,,0,156074,0,0,0,0,2.1,0,0,,2,2,Defender,DEF,3.1,2.6,1,Rob,1.0,3,0,ism-icon--info,2.2,11,False,20.2,,True,False,0,0,0,0,66,,STK (A),50,0,0,0,156074.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/156074.jpg,1.0,0,0,holding,Holding,2.5,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,16,a,1,3,Arsenal,ARS,0.0,1,1042,1042,1174,1174,0.2,0.2,Holding,0
0,0,0,75,75,0,69140,0,0,0,0,0.0,0,0,75,2,2,Defender,DEF,2.7,2.3,0,Shkodran,0.0,0,0,ism-icon--info--75,0.0,12,False,0.0,poss_75,True,False,0,0,0,0,0,Lack of match fitness - 75% chance of playing,STK (A),55,0,0,0,69140.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/69140.jpg,0.0,0,0,mustafi,Mustafi,1.9,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,20,d,1,3,Arsenal,ARS,0.0,0,141,141,3308,3308,0.0,0.0,Mustafi,0
1,1,35,,,0,111457,0,0,0,0,0.0,0,0,,2,2,Defender,DEF,4.0,3.5,5,Sead,5.0,3,0,ism-icon--info,0.0,13,False,0.0,,True,False,0,0,0,0,90,,STK (A),60,0,0,0,111457.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/111457.jpg,5.0,0,0,kolasinac,Kolasinac,12.8,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,31,a,1,3,Arsenal,ARS,0.0,5,11419,11419,940,940,0.8,0.8,Kolasinac,0
0,0,0,0,0,0,37265,0,0,0,0,0.0,0,0,0,3,3,Midfielder,MID,0.0,0.0,0,Alexis,0.0,0,0,ism-icon--info--0,0.0,14,False,0.0,warn,True,False,0,0,0,0,0,Abdominal injury - Expected back 19 Aug,STK (A),120,0,0,0,37265.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/37265.jpg,0.0,0,0,sanchez,Sánchez,3.1,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,7,i,1,3,Arsenal,ARS,0.0,0,228,228,3282,3282,0.0,0.0,Sánchez,0
0,0,2,100,100,0,20467,0,0,0,0,0.3,0,0,,3,3,Midfielder,MID,3.6,3.1,1,Theo,1.0,0,0,ism-icon--info,0.1,15,False,1.0,,True,False,0,0,0,0,15,,STK (A),75,0,0,0,20467.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/20467.jpg,1.0,0,0,walcott,Walcott,3.0,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,14,a,1,3,Arsenal,ARS,0.0,1,502,502,3499,3499,0.1,0.1,Walcott,0
0,0,15,100,75,0,37605,0,0,0,0,80.8,0,0,,3,3,Midfielder,MID,4.2,2.8,2,Mesut,2.0,3,0,ism-icon--info,12.4,16,False,18.6,,True,False,0,0,0,0,90,,STK (A),95,0,0,0,37605.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/37605.jpg,2.0,0,0,ozil,Özil,2.2,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,11,a,1,3,Arsenal,ARS,25.0,2,1249,1249,918,918,0.2,0.2,Özil,0
0,0,0,0,0,0,19524,0,0,0,0,0.0,0,0,0,3,3,Midfielder,MID,0.0,0.0,0,Santiago,0.0,0,0,ism-icon--info--0,0.0,17,False,0.0,warn,True,False,0,0,0,0,0,Ankle injury - Unknown return date,STK (A),70,0,0,0,19524.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/19524.jpg,0.0,0,0,cazorla,Cazorla,0.0,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,19,i,1,3,Arsenal,ARS,0.0,0,13,13,98,98,0.0,0.0,Cazorla,0
0,0,16,100,50,0,41792,0,0,0,0,11.2,0,0,,3,3,Midfielder,MID,3.4,1.5,6,Aaron,6.0,0,1,ism-icon--info,6.7,18,False,29.6,,True,False,0,0,0,0,23,,STK (A),70,0,0,0,41792.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/41792.jpg,6.0,0,0,ramsey,Ramsey,1.1,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,8,a,1,3,Arsenal,ARS,26.0,6,2807,2807,362,362,0.9,0.9,Ramsey,0
0,0,26,,,0,81880,0,0,0,0,29.3,0,0,,3,3,Midfielder,MID,3.1,2.6,2,Alex,2.0,3,0,ism-icon--info,10.9,19,False,35.8,,True,False,0,0,0,0,90,,STK (A),60,0,0,0,81880.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/81880.jpg,2.0,0,0,chamberlain,Oxlade-Chamberlain,3.6,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,15,a,1,3,Arsenal,ARS,44.0,2,2087,2087,1498,1498,0.3,0.3,Chamberlain,0
0,0,0,75,75,0,56864,0,0,0,0,0.0,0,0,75,3,3,Midfielder,MID,1.5,1.1,0,Francis,0.0,0,0,ism-icon--info--75,0.0,20,False,0.0,poss_75,True,False,0,0,0,0,0,Ankle injury - 75% chance of playing,STK (A),45,0,0,0,56864.jpg,https://ismdj.scdn5.secure.raxcdn.com/static/plfpl/img/shirts/photos/56864.jpg,0.0,0,0,coquelin,Coquelin,0.7,3,https://ismdj.scdn5.secure.raxcdn.com/static/compass/plfpl/desktop/images/shirts/shirt_3.png,False,34,d,1,3,Arsenal,ARS,0.0,0,117,117,898,898,0.0,0.0,Coquelin,0
