id,fixture,name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
1,201,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,9,0,0,0,0,0,0,21,0,74203,0,0,0,1,4,0,0,-1289,249,1538,48,True,0,0,1,1,20
1,220,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,19,0,0,0,0,0,0,22,0,73210,0,0,0,0,1,0,0,-1560,308,1868,48,False,0,0,1,1,21
1,221,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,0,0,0,0,0,23,0,72299,0,0,0,0,2,0,0,-1218,146,1364,48,True,0,0,1,1,22
1,231,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,24,0,71912,0,0,0,1,2,0,0,-814,304,1118,48,True,0,0,1,1,23
1,248,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,0,0,0,0,0,0,25,0,71563,0,0,0,1,3,0,0,-488,115,603,48,False,0,0,1,1,24
1,254,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10,0,0,0,0,0,0,26,0,71372,0,0,0,2,1,0,0,-568,269,837,48,False,0,0,1,1,25
1,261,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,16,0,0,0,0,0,0,27,0,71363,0,0,0,0,2,0,0,-552,322,874,48,True,0,0,1,1,26
1,271,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,28,0,71180,0,0,0,1,5,0,0,-210,88,298,48,True,0,0,1,1,27
1,287,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,17,0,0,0,0,0,0,29,0,70975,0,0,0,1,1,0,0,-321,79,400,48,False,0,0,1,1,28
1,291,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,14,0,0,0,0,0,0,30,0,70799,0,0,0,0,2,0,0,-333,65,398,48,True,0,0,1,1,29
1,310,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,20,0,0,0,0,0,0,35,0,71001,0,0,0,1,3,0,0,-33,271,304,47,False,0,0,1,1,30
1,311,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,15,0,0,0,0,0,0,32,0,70711,0,0,0,0,2,0,0,-203,114,317,48,True,0,0,1,1,31
1,323,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,33,0,70804,0,0,0,0,1,0,0,-88,157,245,47,False,0,0,1,1,32
1,340,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,18,0,0,0,0,0,0,34,0,70833,0,0,0,1,0,0,0,-100,132,232,47,False,0,0,1,1,33
1,341,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,7,0,0,0,0,0,0,35,0,71001,0,0,0,3,2,0,0,-33,271,304,47,True,0,0,1,1,34
1,355,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0,0,0,0,0,0,36,0,70940,0,0,0,0,3,0,0,-140,109,249,47,False,0,0,1,1,35
1,361,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,0,0,0,0,0,37,0,70944,0,0,0,1,1,0,0,-112,114,226,47,True,0,0,1,1,36
1,372,Petr_Cech_1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0,0,0,0,0,0,38,0,71135,0,0,0,3,1,0,0,25,272,247,47,False,0,0,1,1,37
2,1,Bernd_Leno_2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,0,0,0,0,0,0,1,0,110646,0,0,0,2,0,0,0,0,0,0,50,True,0,0,1,1,38
2,14,Bernd_Leno_2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,6,0,0,0,0,0,0,2,0,107349,0,0,0,2,3,0,0,-14370,1857,16227,50,False,0,0,1,1,39
2,21,Bernd_Leno_2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,19,0,0,0,0,0,0,3,0,92305,0,0,0,1,3,0,0,-17771,1103,18874,49,True,0,0,1,1,40
2,33,Bernd_Leno_2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0,0,0,0,0,0,4,0,82858,0,0,0,3,2,0,0,-11562,500,12062,49,False,0,0,1,1,41
2,46,Bernd_Leno_2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,15,0,0,0,0,0,0,5,0,77555,0,0,0,2,1,0,0,-7085,754,7839,48,False,0,0,1,1,42
2,51,Bernd_Leno_2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,0,0,0,0,0,0,6,0,74131,0,0,0,0,2,0,0,-4376,353,4729,48,True,0,0,1,1,43
2,61,Bernd_Leno_2,0,18,0,0,0,11,0,2,12,0.0,0,0,0,0,0,0,2.6,26.4,0,42,0,0,18,0,0,0,0,3,0,7,3,70906,0,0,0,0,2,0,2,-3790,180,3970,48,True,0,0,1,1,44
2,74,Bernd_Leno_2,0,33,0,0,0,19,0,1,25,0.0,0,0,0,0,1,0,2.2,21.6,0,90,0,0,9,0,0,0,0,17,0,8,3,85008,0,0,0,5,1,0,3,11531,13379,1848,48,False,0,0,1,1,45
