name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,team,position,unique_id
Paul_Dummett_313,0,758,0,0,3,365,7,168,539,93.99999999999997,2,0,0,11,27,0,57.6,424.2,4,1986,1,7,390,0,1,0,0,78,0,741,0,392264,2,17,6,43,47,58,67,-3279,18871,22150,1681,19.0,0,1,570,76,451231
Paul_Pogba_302,10,2071,6,7,19,648,8,60,1716,822.3,55,0,0,54,43,13,316.8999999999999,1096.7999999999997,54,3007,5,3,392,0,0,3,0,219,0,744,0,58623554,123,18,26,57,62,1246,179,2020191,4549932,2529741,3172,19.0,4,6,532,114,435347
Paulo_Gazzaniga_536,0,95,0,0,0,64,1,3,61,0.0,0,0,0,0,2,0,8.2,82.8,0,270,0,0,348,0,0,0,0,23,0,738,11,84771,0,0,0,43,53,0,13,440,8205,7765,1575,18.0,0,0,595,35,711375
Pedro_Obiang_413,2,535,1,0,1,188,2,35,429,105.9,7,0,0,13,21,0,43.599999999999994,219.20000000000002,5,1116,2,2,382,0,0,0,0,74,0,741,0,2208984,6,15,8,47,60,112,43,-24159,88127,112286,1650,19.0,0,0,722,114,595631
Pedro_Rodr?guez Ledesma_125,2,1065,8,2,12,440,7,28,921,503.5,42,0,1,17,19,8,176.5,530.2000000000002,29,1768,8,9,408,0,0,0,0,96,0,746,0,11387693,51,8,24,36,66,733,112,707,1506988,1506281,2422,19.0,3,2,228,114,179759
Peter_Crouch_590,1,29,0,0,0,24,0,2,11,1.5999999999999999,0,0,0,3,3,0,12.3,7.6000000000000005,0,86,0,0,136,0,0,0,0,3,0,441,0,961560,0,1,0,21,22,115,8,51553,155089,103536,626,8.0,0,1,56,56,301259
Petr_Cech_1,0,223,0,0,3,130,1,8,153,0.0,0,0,2,0,9,0,20.4,204.99999999999997,0,585,0,0,418,0,0,0,0,62,0,745,27,3164145,0,1,0,47,77,0,24,-52462,83665,136127,1848,19.0,0,0,38,38,703
Phil_Bardsley_75,0,556,4,0,0,224,4,103,382,139.59999999999997,4,1,1,22,27,0,47.39999999999999,267.8,7,1670,0,10,412,1,0,0,0,72,0,741,0,341329,10,15,8,53,60,66,33,-3923,14558,18481,1618,19.0,0,9,152,76,107559
Phil_Foden_277,0,232,2,2,3,93,2,4,201,133.8,8,0,0,4,0,1,42.6,84.99999999999999,8,328,0,1,394,0,0,0,0,14,0,742,0,319527,8,5,5,50,68,208,25,-6199,15076,21275,1753,19.0,1,0,494,114,399247
Phil_Jagielka_158,0,190,0,0,3,80,2,16,140,21.4,0,0,0,2,4,1,14.600000000000001,82.19999999999999,2,329,0,0,404,0,0,0,0,14,1,739,0,1290130,0,2,0,45,55,43,22,-70605,22314,92919,1642,19.0,1,0,304,76,227411
Phil_Jones_285,1,758,1,1,3,273,3,94,700,44.8,3,0,3,8,17,0,38.99999999999999,300.8,3,1261,0,0,392,0,0,0,0,91,0,744,0,1537659,3,12,3,57,62,42,43,-143088,26217,169305,1955,19.0,0,1,532,76,410799
Philip_Billing_202,0,1074,1,0,4,317,5,114,843,340.99999999999994,21,0,0,37,43,2,121.30000000000003,494.6,22,2187,2,9,400,0,0,0,0,173,0,741,0,3748081,46,24,16,43,55,375,63,34302,319328,285026,1710,19.0,0,7,380,114,290947
Philippe_Sandler_604,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,109,0,0,0,0,0,0,366,0,6621,0,0,0,14,10,0,0,553,1244,691,440,5.0,0,0,143,22,238711
