Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Cork,BUR,MID,47,105.8,115.4,57.0,27.9,20,0,0,0,0,0,0,3,0,0.4,972,0,22
Costa,WOL,MID,49,129.8,56.8,189.0,37.6,12,0,0,0,0,0,0,1,0,0.5,868,0,25
Courtois,CHE,GKP,55,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Coventry,WHU,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Cresswell,WHU,DEF,51,98.9,81.8,12.0,19.2,6,0,0,0,0,0,0,1,0,0.6,375,0,7
Cunningham,CAR,DEF,42,40.2,45.0,10.0,9.6,8,0,0,0,0,0,0,2,0,0.0,270,0,1
Cedric,SOU,DEF,44,147.1,186.2,79.0,41.3,21,0,1,0,0,0,0,4,0,4.6,1045,7,32
Dahlberg,WAT,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dalot,MUN,DEF,53,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Damour,CAR,MID,44,1.0,0.6,8.0,0.9,2,0,0,0,0,0,0,0,0,0.0,21,0,2
Daniels,BOU,DEF,42,80.8,83.0,37.0,20.0,4,0,0,0,0,0,0,1,0,4.5,420,0,16
Danilo,MCI,DEF,51,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Dann,CRY,DEF,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Darlow,NEW,GKP,44,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Darmian,MUN,DEF,46,2.3,20.6,7.0,3.0,1,0,0,0,0,0,0,0,0,0.2,90,0,2
David Luiz,CHE,DEF,56,98.9,263.6,102.0,46.3,8,0,0,0,0,0,0,1,0,5.8,1080,6,51
David Silva,MCI,MID,86,507.4,325.8,487.0,132.2,5,4,2,0,0,0,0,1,0,9.4,832,7,57
Davies,EVE,MID,52,55.3,61.6,26.0,14.3,7,0,0,0,0,0,0,2,0,0.1,496,0,11
Davies,TOT,DEF,56,127.9,130.8,75.0,33.4,7,0,0,0,0,0,0,1,0,2.2,638,0,21
Davis,SOU,MID,46,0.2,1.0,0.0,0.1,1,0,0,0,0,0,0,0,0,0.1,6,0,1
De Bruyne,MCI,MID,97,31.6,9.6,15.0,5.6,0,0,0,0,0,0,0,1,0,3.3,81,0,2
De Gea,MUN,GKP,58,0.0,307.0,0.0,30.7,21,0,0,0,0,0,42,0,0,16.0,1080,1,33
Deeney,WAT,FWD,59,170.0,169.6,372.0,71.2,12,2,1,0,0,0,0,1,0,2.6,768,4,31
Defoe,BOU,FWD,56,0.0,3.0,23.0,2.6,2,0,0,0,0,0,0,0,0,0.4,22,0,4
Defour,BUR,MID,54,18.4,45.8,0.0,6.5,11,0,0,0,0,0,0,0,0,0.0,308,0,7
Delph,MCI,DEF,53,26.3,35.4,0.0,6.1,0,0,0,0,0,0,0,0,0,0.3,167,2,15
Dembele,TOT,MID,49,17.5,51.0,1.0,7.1,6,0,0,0,0,0,0,1,0,0.9,512,0,14
Dendoncker,WOL,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Depoitre,HUD,FWD,52,78.2,37.0,168.0,27.9,13,0,1,0,0,0,0,1,0,0.5,538,0,18
Deulofeu,WAT,MID,54,82.5,62.8,131.0,27.5,2,1,1,0,0,0,0,1,0,0.9,303,0,18
Diabate,LEI,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Diakhaby,HUD,MID,46,23.7,18.2,10.0,5.0,6,0,0,0,0,0,0,0,0,0.0,230,0,9
Diame,NEW,MID,49,35.1,152.2,99.0,28.7,15,0,0,0,0,0,0,2,0,0.1,1054,0,26
Diangana,WHU,MID,45,79.5,55.2,43.0,17.8,4,0,1,0,0,0,0,0,0,0.3,255,0,11
Diaz,MCI,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Dier,TOT,MID,48,81.6,148.2,45.0,27.6,6,1,0,0,0,0,0,1,0,1.6,757,0,26
Digne,EVE,DEF,48,313.9,196.8,74.0,58.5,10,0,1,0,0,0,0,1,0,2.6,799,3,33
Diop,WHU,DEF,43,22.6,215.4,63.0,30.0,12,0,0,1,0,0,0,1,0,0.6,900,0,19
Doherty,WOL,DEF,49,254.8,257.4,241.0,75.2,13,1,2,1,0,0,0,1,0,16.5,1039,9,54
Doucoure,WAT,MID,59,222.6,229.0,126.0,57.7,14,0,4,1,0,0,0,2,0,1.6,1080,6,41
Douglas,WOL,DEF,50,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Dowell,EVE,MID,45,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
Drinkwater,CHE,MID,47,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Dubravka,NEW,GKP,50,0.0,278.8,0.0,27.7,15,0,0,0,0,0,34,0,0,0.6,1080,5,48
Duffy,BHA,DEF,47,22.4,404.6,88.0,51.5,18,2,2,0,0,0,0,2,0,7.4,1080,3,47
Dummett,NEW,DEF,44,66.7,185.2,13.0,26.5,10,0,0,0,0,0,0,0,0,0.2,900,0,32
Dunk,BHA,DEF,45,33.1,283.4,86.0,40.3,15,2,0,0,0,0,0,2,0,3.8,919,4,40
Durm,HUD,DEF,44,82.9,82.2,70.0,23.4,11,0,0,0,0,0,0,0,0,0.1,509,0,9
Ecuele Manga,CAR,DEF,45,88.4,233.4,27.0,35.0,25,0,1,0,0,0,0,0,0,0.1,1080,0,25
Ederson,MCI,GKP,58,20.0,174.4,0.0,19.4,5,0,1,0,0,0,19,0,0,26.6,1080,4,62
Elliot,NEW,GKP,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Elneny,ARS,MID,43,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.3,0,0,0
Elyounoussi,SOU,MID,62,186.8,75.2,152.0,41.4,3,0,0,0,0,0,0,0,0,0.1,513,0,18
