    ID,    Web Name,    Player ID,    Full Name,    Team,    News,    Position,    Current Price,    Value Season,    Cost Change from Start,    Percentage selected by,    Transfers In,    Transfers Out,    Total Points,    Points Per Game,    Minutes,    Goals Scored,    Assists,    Clean Sheets,    Goals Conceded,    Own Goals,    Penalties Saved,    Penalties Missed,    Yellow Cards,    Red Cards,    Saves,    Bonus Points,    Bonus Point System Score,    Influence,    Creativity,    Threat,        ICT Index,    EA Index,
                28,        Lacazette,        59966,        Alexandre Lacazette,        3,        ,        4,        103,        13.4,        -2,        7.6,        1367817,        1826713,        138,        4.3,        2197,        14,        5,        10,        28,        0,        0,        0,        1,        0,        0,        11,        543,        725.6,        566.0,        1291.0,        258.0,        0,    
                281,        Mkhitaryan,        57249,        Henrikh Mkhitaryan,        3,        ,        3,        77,        13.9,        -3,        7.5,        2270366,        2414977,        107,        4.1,        1712,        3,        9,        12,        17,        0,        0,        0,        2,        0,        0,        9,        411,        506.8,        727.8,        400.0,        163.8,        0,    
                480,        Chambers,        101184,        Calum Chambers,        3,        ,        2,        47,        4.9,        -3,        0.4,        26699,        29485,        23,        1.9,        864,        0,        0,        2,        14,        0,        0,        0,        1,        0,        0,        0,        171,        227.8,        40.0,        134.0,        40.2,        0,    
                489,        Nelson,        200641,        Reiss Nelson,        3,        ,        3,        47,        1.1,        -3,        0.0,        1836,        3407,        5,        1.7,        144,        0,        0,        0,        3,        0,        0,        0,        0,        0,        0,        0,        23,        12.0,        29.7,        11.0,        5.3,        0,    
                546,        Maitland-Niles,        154043,        Ainsley Maitland-Niles,        3,        ,        3,        45,        5.6,        0,        0.1,        15922,        12490,        25,        1.7,        908,        0,        0,        3,        16,        0,        0,        0,        1,        0,        0,        0,        160,        168.4,        141.3,        67.0,        37.8,        0,    
                559,        Macey,        113534,        Matt Macey,        3,        ,        1,        50,        0.0,        0,        0.0,        568,        555,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                560,        Nketiah,        205533,        Edward Nketiah,        3,        ,        4,        50,        0.6,        0,        0.0,        4612,        3779,        3,        1.0,        17,        0,        0,        0,        1,        0,        0,        0,        0,        0,        0,        0,        10,        5.0,        1.9,        17.0,        2.3,        0,    
                564,        Debuchy,        27334,        Mathieu Debuchy,        3,        Transferred to Saint-Etienne,        2,        45,        0.0,        0,        0.0,        1490,        1662,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                595,        Mavropanos,        233963,        Konstantinos Mavropanos,        3,        ,        2,        42,        1.0,        -3,        0.0,        3828,        1881,        4,        1.3,        194,        0,        0,        1,        5,        0,        0,        0,        0,        1,        0,        0,        41,        52.2,        1.3,        2.0,        5.5,        0,    
                616,        Aubameyang,        54694,        Pierre-Emerick Aubameyang,        3,        ,        4,        108,        8.1,        3,        14.0,        1545427,        726140,        87,        6.7,        1056,        10,        4,        4,        15,        0,        0,        1,        0,        0,        0,        12,        354,        484.0,        207.1,        580.0,        127.1,        0,    
                634,        Willock,        200089,        Joseph Willock,        3,        ,        3,        45,        0.7,        0,        0.0,        239,        127,        3,        1.5,        81,        0,        0,        0,        2,        0,        0,        0,        0,        0,        0,        0,        8,        8.2,        5.8,        4.0,        1.8,        0,    
                644,        Osei-Tutu,        209413,        Jordi Osei-Tutu,        3,        ,        2,        40,        0.0,        0,        0.0,        235,        53,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                29,        Begovic,        40349,        Asmir Begovic,        91,        ,        1,        45,        24.9,        0,        4.1,        225786,        295513,        112,        2.9,        3420,        0,        0,        6,        61,        0,        1,        0,        2,        0,        111,        6,        631,        790.8,        20.0,        0.0,        80.8,        0,    
                30,        Boruc,        18726,        Artur Boruc,        91,        ,        1,        41,        0.0,        -4,        1.3,        10441,        160441,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                31,        Federici,        15885,        Adam Federici,        91,        ,        1,        40,        0.0,        0,        2.2,        20285,        147102,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                32,        Francis,        15149,        Simon Francis,        91,        ,        2,        43,        13.0,        -2,        1.3,        128178,        204320,        56,        1.8,        2708,        0,        1,        4,        47,        0,        0,        0,        8,        1,        0,        3,        491,        726.8,        418.4,        163.0,        131.0,        0,    
                33,        Steve Cook,        56917,        Steve Cook,        91,        ,        2,        46,        18.0,        -4,        1.1,        137885,        127872,        83,        2.4,        2764,        2,        1,        5,        53,        1,        0,        0,        5,        0,        0,        9,        495,        870.0,        65.6,        271.0,        120.6,        0,    
                34,        Daniels,        41320,        Charlie Daniels,        91,        ,        2,        47,        20.0,        -3,        6.6,        592879,        1178667,        94,        2.7,        3001,        1,        3,        6,        50,        0,        0,        0,        0,        0,        0,        4,        587,        582.2,        479.7,        196.0,        125.9,        0,    
                35,        Adam Smith,        54469,        Adam Smith,        91,        Knee injury - Unknown return date,        2,        48,        11.7,        -2,        0.4,        36683,        71957,        56,        2.1,        2067,        1,        3,        2,        38,        0,        0,        0,        6,        0,        0,        3,        376,        455.0,        345.5,        144.0,        94.5,        0,    
                36,        Mings,        149484,        Tyrone Mings,        91,        ,        2,        42,        0.7,        -3,        0.2,        2820,        17854,        3,        0.8,        201,        0,        0,        0,        5,        0,        0,        0,        1,        0,        0,        0,        40,        46.6,        14.8,        10.0,        7.2,        0,    
                37,        Brad Smith,        120447,        Bradley Smith,        91,        ,        2,        39,        0.0,        -1,        3.2,        114961,        205918,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                38,        Aké,        126184,        Nathan Aké,        91,        ,        2,        50,        20.4,        0,        6.1,        473457,        550652,        102,        2.7,        3352,        2,        3,        6,        59,        0,        0,        0,        5,        0,        0,        8,        642,        932.4,        115.1,        287.0,        133.5,        0,    
                39,        Arter,        48615,        Harry Arter,        91,        Achilles injury - Unknown return date,        3,        47,        5.7,        -3,        0.3,        14078,        42168,        27,        2.1,        959,        1,        0,        3,        13,        0,        0,        0,        4,        0,        0,        0,        156,        146.0,        76.1,        69.0,        29.2,        0,    
                40,        Pugh,        20037,        Marc Pugh,        91,        ,        3,        47,        6.8,        -3,        0.1,        3064,        6956,        32,        1.6,        974,        0,        0,        5,        17,        0,        0,        0,        2,        0,        0,        0,        97,        99.2,        195.5,        224.0,        51.6,        0,    
                41,        Surman,        15237,        Andrew Surman,        91,        ,        3,        43,        19.1,        -2,        3.1,        808698,        733484,        82,        3.3,        1851,        2,        5,        5,        29,        0,        0,        0,        2,        0,        0,        9,        363,        458.0,        261.1,        121.0,        84.0,        0,    
                42,        Stanislas,        56872,        Junior Stanislas,        91,        Knee injury - Unknown return date,        3,        57,        13.2,        -3,        0.3,        175855,        170063,        75,        3.9,        1285,        5,        3,        2,        22,        0,        0,        0,        1,        0,        0,        7,        285,        394.8,        377.2,        483.0,        125.1,        0,    
                43,        Gosling,        40387,        Dan Gosling,        91,        ,        3,        48,        12.3,        -2,        0.1,        12193,        11809,        59,        2.1,        1941,        2,        1,        1,        41,        0,        0,        0,        8,        0,        0,        4,        254,        396.4,        262.2,        274.0,        93.3,        0,    
                44,        Gradel,        59741,        Max Gradel,        91,        Season-long loan to Toulouse,        3,        50,        0.0,        0,        0.0,        144,        4149,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,        0,    
                45,        Ibe,        103912,        Jordon Ibe,        91,        ,        3,        46,        18.5,        -4,        1.0,        194218,        167829,        85,        2.7,        1988,        2,        6,        4,        33,        0,        0,        0,        1,        0,        0,        5,        289,        362.0,        602.7,        610.0,        157.3,        0,    
                46,        Lewis Cook,        155408,        Lewis Cook,        91,        ,        3,        43,        13.5,        -2,        1.2,        100360,        87371,        58,        2.0,        2234,        0,        2,        3,        42,        0,        0,        0,        5,        0,        0,        0,        337,        456.4,        423.3,        126.0,        100.7,        0,    
                47,        Fraser,        90105,        Ryan Fraser,        91,        ,        3,        51,        19.0,        -4,        0.7,        112022,        138149,        97,        3.7,        2003,        5,        3,        2,        38,        0,        0,        0,        0,        0,        0,        13,        390,        492.8,        646.6,        413.0,        155.0,        0,    
                48,        Wilson,        75115,        Callum Wilson,        91,        ,        4,        56,        18.2,        -4,        4.5,        1273721,        1041094,        102,        3.6,        1981,        8,        2,        6,        33,        0,        0,        0,        0,        0,        0,        13,        282,        392.2,        288.4,        799.0,        147.5,        0,    
                49,        Afobe,        88498,        Benik Afobe,        91,        Season-long loan to Wolves,        4,        57,        4.2,        -3,        0.2,        7433,        33941,        24,        1.4,        534,        0,        1,        0,        12,        0,        0,        0,        0,        0,        0,        0,        73,        33.8,        62.6,        219.0,        31.3,        0,    
                50,        Mousset,        178304,        Lys Mousset,        91,        ,        4,        49,        7.3,        -1,        0.2,        24091,        20490,        36,        1.6,        581,        2,        0,        1,        16,        0,        0,        0,        1,        0,        0,        3,        106,        120.4,        69.5,        252.0,        43.9,        0,    
                51,        King,        78007,        Joshua King,        91,        ,        4,        70,        15.7,        -5,        1.9,        185282,        386325,        110,        3.3,        2450,        8,        4,        7,        38,        0,        0,        0,        3,        0,        0,        10,        381,        577.0,        556.7,        902.0,        203.7,        0,    
                52,        Defoe,        7958,        Jermain Defoe,        91,        ,        4,        76,        7.9,        -4,        1.4,        54550,        215668,        60,        2.5,        1075,        4,        2,        2,        21,        0,        0,        0,        1,        0,        0,        5,        191,        209.4,        144.9,        539.0,        88.9,        0,    
